gene_name	localisation
MLXIPL	Nucleoplasm
BAZ1B	Nucleoplasm
RANBP9	Nucleoplasm
ETV7	Nucleoplasm
SPRTN	Nucleoplasm
METTL13	Cytosol
DYRK4	Vesicles
ZNF207	Nucleoplasm
UQCRC1	Mitochondria
STARD3NL	Vesicles
CD9	Plasma-membrane
NCAPD2	Cytosol
NCAPD2	Nucleoplasm
PHF7	Nuclear-speckles
PHF7	Nucleoplasm
NISCH	Cytosol
NISCH	Nucleoplasm
STAB1	Cytosol
FUZ	Cytosol
SLC6A13	Mitochondria
PRSS3	Vesicles
ZNF200	Mitochondria
CD4	Plasma-membrane
LRRC23	Nucleoli
LRRC23	Nucleoli-rim
BTK	Cytosol
BTK	Plasma-membrane
HFE	Plasma-membrane
SCMH1	Nucleoplasm
FYN	Plasma-membrane
HIVEP2	Nucleoplasm
ELOA	Nuclear-speckles
LYPLA2	Cytosol
LYPLA2	Nucleoplasm
NME1-NME2	Cytosol
SLC6A7	Cytosol
SLC6A7	Plasma-membrane
TSPAN9	Golgi-apparatus
TSPAN9	Nucleoplasm
BTBD7	Focal-adhesion-sites
APBA3	Vesicles
MKS1	Basal-body
ABHD5	Cytosol
ABHD5	Vesicles
AKAP8L	Nuclear-speckles
MBTD1	Nucleoplasm
UTP18	Nucleoli
UTP18	Nucleoli-rim
RNF216	Cytosol
TTC19	Mitochondria
PTBP1	Nucleoplasm
DPF1	Cytosol
DPF1	Nucleoplasm
LARS2	Mitochondria
PIK3C2A	Nucleoplasm
PIK3C2A	Vesicles
PLAUR	Plasma-membrane
ANLN	Nucleoplasm
WIZ	Nucleoplasm
RABGAP1	Cytosol
QPCTL	Golgi-apparatus
PPP5C	Cytosol
PPP5C	Vesicles
CEP68	Centriolar-satellite
CEP68	Nucleoplasm
MAP4K3	Centriolar-satellite
TYROBP	Plasma-membrane
LDAF1	Vesicles
GABRA3	Plasma-membrane
BRCA1	Nuclear-bodies
BRCA1	Nucleoplasm
ERCC1	Nucleoplasm
MBTPS2	Cytosol
MBTPS2	Mitochondria
MBTPS2	Nucleoplasm
NR1H4	Nuclear-speckles
NR1H4	Nucleoplasm
ELOVL5	Endoplasmic-reticulum
ALOX5	Nucleoplasm
KDM5D	Nucleoli-fibrillar-center
CALCOCO1	Cytosol
UBR7	Nucleoplasm
MAP4K5	Cytosol
EHD3	Plasma-membrane
PSMC4	Cytosol
PSMC4	Nucleoplasm
SLC7A14	Cytosol
SLC7A14	Vesicles
CLDN11	Cell-Junctions
CLDN11	Lipid-droplets
MVP	Cytosol
NUB1	Nucleoli
NUB1	Nucleoplasm
PGM3	Cytosol
PGM3	Nucleoplasm
RWDD2A	Vesicles
CLK1	Nuclear-membrane
CLK1	Nucleoplasm
POLR3B	Nuclear-speckles
ANGEL1	Nucleoplasm
RNF14	Nucleoplasm
DDX11	Nucleoplasm
HEBP1	Vesicles
GPRC5A	Plasma-membrane
GPRC5A	Vesicles
MAMLD1	Nucleoplasm
TACC3	Centriolar-satellite
TACC3	Cytosol
UFL1	Endoplasmic-reticulum
POLA2	Nucleoplasm
ZC3H3	Nucleoplasm
CAPN1	Cytosol
MDH1	Centrosome
MDH1	Cytosol
MTMR11	Centrosome
COX15	Mitochondria
CCDC88C	Cell-Junctions
YAF2	Nucleoplasm
ZMYND11	Nucleoplasm
WAS	Plasma-membrane
DPEP1	Cell-Junctions
DPEP1	Nucleoplasm
BID	Cytosol
MATR3	Nucleoplasm
NUDCD3	Cytosol
NUDCD3	Plasma-membrane
ISL1	Nucleoplasm
CHDH	Mitochondria
IL20RA	Cytosol
CLCA4	Plasma-membrane
GLT8D1	Golgi-apparatus
ATP2C1	Golgi-apparatus
SLC38A5	Plasma-membrane
SLC38A5	Vesicles
RALBP1	Nucleoplasm
RALBP1	Plasma-membrane
RUFY3	Cytosol
SLC11A1	Mitochondria
WWTR1	Nuclear-bodies
WWTR1	Nucleoplasm
AGPS	Peroxisomes
STEEP1	Nucleoplasm
TTC27	Mitochondria
ZNF582	Cytosol
VSIG2	Nucleoplasm
PHLDB1	Cytosol
PHLDB1	Vesicles
MARCO	Golgi-apparatus
CYP24A1	Mitochondria
SYT13	Vesicles
SNAI2	Nucleoplasm
CD74	Golgi-apparatus
ZRANB1	Nucleoplasm
NCDN	Cytosol
ADGRA2	Plasma-membrane
ZFP64	Nucleoplasm
MNAT1	Nucleoplasm
SAMD4A	Cell-Junctions
RUNX3	Nucleoplasm
RUNX3	Vesicles
MRE11	Nucleoplasm
SERPINB1	Cytoplasmic-bodies
CYP3A43	Cytosol
SPAST	Nucleoplasm
